feature,coefficient,importance,direction
over_time,0.6101555566082635,0.6101555566082635,positive
marital_status_Single,0.4045817947879952,0.4045817947879952,positive
satisfaction_composite,-0.28831919786029775,0.28831919786029775,negative
years_at_company,-0.26945580331353397,0.26945580331353397,negative
job_satisfaction,-0.26502562371190586,0.26502562371190586,negative
stock_option_level,-0.23002798415486722,0.23002798415486722,negative
num_companies_worked,0.2119082970132128,0.2119082970132128,positive
age,-0.2083744640225715,0.2083744640225715,negative
log_distance,0.17431281634993218,0.17431281634993218,positive
loyalty_ratio,-0.1713104417622485,0.1713104417622485,negative
years_since_last_promotion,0.13974999854136297,0.13974999854136297,positive
log_monthly_income,-0.12435204613862359,0.12435204613862359,negative
work_life_balance,-0.11780517258383918,0.11780517258383918,negative
income_per_experience,0.10515435320895673,0.10515435320895673,positive
environment_satisfaction,-0.09860322260370001,0.09860322260370001,negative
total_working_years,-0.09641977917517859,0.09641977917517859,negative
job_involvement,-0.07419626660462475,0.07419626660462475,negative
marital_status_Married,0.05502147772851929,0.05502147772851929,positive
training_times_last_year,-0.049551062304833,0.049551062304833,negative
department_Sales,0.04906829525002078,0.04906829525002078,positive
education,-0.03966981770054986,0.03966981770054986,negative
young_overtime,0.03886373336996604,0.03886373336996604,positive
performance_rating,-0.03239240552428959,0.03239240552428959,negative
years_in_current_role,-0.031294761634137205,0.031294761634137205,negative
department_Research & Development,0.02190842570623562,0.02190842570623562,positive
department_Operations,0.021290457509458034,0.021290457509458034,positive
gender_Male,0.020960789397157127,0.020960789397157127,positive
promotion_lag_ratio,-0.02029006061094228,0.02029006061094228,negative
job_hopper_score,-0.020201862012783785,0.020201862012783785,negative
department_Human Resources,-0.01190312964019156,0.01190312964019156,negative
department_IT,0.009093977040212966,0.009093977040212966,positive
department_Marketing,0.0017232079980489619,0.0017232079980489619,positive
single_overtime,0.00150322985227128,0.00150322985227128,positive
